ID,Tytuł,Autor,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie,Ocena użytkownika,Link,Data przeczytania,Na półkach Głowne,Na półkach Pozostałe
303278,Placówka Basilisk,David Weber,Honor Harrington (tom 1),"7,6",731,1466,84,,https://lubimyczytac.pl/ksiazka/303278/placowka-basilisk,,Chcę przeczytać,
5026569,Ciemny las,Cixin Liu,Wspomnienie o przeszłości Ziemi (tom 2),"8,0",4548,7919,493,8,https://lubimyczytac.pl/ksiazka/5026569/ciemny-las,,Przeczytane,
4233532,Problem trzech ciał,Cixin Liu,Wspomnienie o przeszłości Ziemi (tom 1),"7,5",7976,17117,1031,8,https://lubimyczytac.pl/ksiazka/4233532/problem-trzech-cial,,Przeczytane,
5100417,Księstwo Różanego Krzyża,Marcin Świątkowski,Psy Pana (tom 2),"6,9",401,699,78,6,https://lubimyczytac.pl/ksiazka/5100417/ksiestwo-rozanego-krzyza,,Przeczytane,
5077100,Psy Pana,Marcin Świątkowski,Psy Pana (tom 1),"6,6",779,1505,195,6,https://lubimyczytac.pl/ksiazka/5077100/psy-pana,,Przeczytane,
5034019,Ilion,Dan Simmons,Ilion/Olimp (tom 1),"7,7",999,3267,117,,https://lubimyczytac.pl/ksiazka/5034019/ilion,,Chcę przeczytać,
51717,Star Wars: Darth Bane. Dynastia Zła,Drew Karpyshyn,The Essential Legends Collection (tom 0),"7,8",1419,2171,101,8,https://lubimyczytac.pl/ksiazka/51717/star-wars-darth-bane-dynastia-zla,,Przeczytane,Star Wars
51716,Star Wars: Darth Bane. Zasada Dwóch,Drew Karpyshyn,Trylogia Dartha Bane'a (tom 2),"7,6",1541,2303,98,8,https://lubimyczytac.pl/ksiazka/51716/star-wars-darth-bane-zasada-dwoch,,Przeczytane,Star Wars
136434,Star Wars: Darth Bane. Droga zagłady,Drew Karpyshyn,Trylogia Dartha Bane'a (tom 1),"7,9",878,1414,77,8,https://lubimyczytac.pl/ksiazka/136434/star-wars-darth-bane-droga-zaglady,,Przeczytane,Star Wars
5034334,Ogień i krew. Część 2,George R.R. Martin,Historia Targaryenów (tom 1.2),"7,1",2198,4361,183,8,https://lubimyczytac.pl/ksiazka/5034334/ogien-i-krew-czesc-2,,Przeczytane,Historia Targaryenów
5034333,Ogień i krew. Część 1,George R.R. Martin,Historia Targaryenów (tom 1.1),"7,3",3101,6364,327,8,https://lubimyczytac.pl/ksiazka/5034333/ogien-i-krew-czesc-1,,Przeczytane,Historia Targaryenów
4966319,Świat Śmierci,B.V. Larson,Legion nieśmiertelnych (tom 5),"6,8",275,502,15,,https://lubimyczytac.pl/ksiazka/4966319/swiat-smierci,,Przeczytane,Legion Nieśmiertelnych
5053076,Świat Burz,B.V. Larson,Legion nieśmiertelnych (tom 10),"7,1",187,415,10,,https://lubimyczytac.pl/ksiazka/5053076/swiat-burz,,Przeczytane,Legion Nieśmiertelnych
5064307,Świat Pancerza,B.V. Larson,Legion nieśmiertelnych (tom 11),"7,1",168,364,14,,https://lubimyczytac.pl/ksiazka/5064307/swiat-pancerza,,Przeczytane,Legion Nieśmiertelnych
5029467,Świat Ciemności,B.V. Larson,Legion nieśmiertelnych (tom 9),"7,0",196,388,13,,https://lubimyczytac.pl/ksiazka/5029467/swiat-ciemnosci,,Przeczytane,Legion Nieśmiertelnych
5014046,Świat Krwi,B.V. Larson,Legion nieśmiertelnych (tom 8),"6,9",219,423,15,,https://lubimyczytac.pl/ksiazka/5014046/swiat-krwi,,Przeczytane,Legion Nieśmiertelnych
4999910,Świat Buntowników,B.V. Larson,Legion nieśmiertelnych (tom 7),"7,0",238,470,15,,https://lubimyczytac.pl/ksiazka/4999910/swiat-buntownikow,,Przeczytane,Legion Nieśmiertelnych
4985304,Świat ludzi,B.V. Larson,Legion nieśmiertelnych (tom 6),"7,1",252,488,14,,https://lubimyczytac.pl/ksiazka/4985304/swiat-ludzi,,Przeczytane,Legion Nieśmiertelnych
4962259,Świat Maszyn,B.V. Larson,Legion nieśmiertelnych (tom 4),"6,8",293,517,14,,https://lubimyczytac.pl/ksiazka/4962259/swiat-maszyn,,Przeczytane,Legion Nieśmiertelnych
4941337,Świat Postępu,B.V. Larson,Legion nieśmiertelnych (tom 3),"6,7",321,569,21,,https://lubimyczytac.pl/ksiazka/4941337/swiat-postepu,,Przeczytane,Legion Nieśmiertelnych
4941336,Świat Pyłu,B.V. Larson,Legion nieśmiertelnych (tom 2),"6,8",363,623,34,,https://lubimyczytac.pl/ksiazka/4941336/swiat-pylu,,Przeczytane,Legion Nieśmiertelnych
4997165,Świat stali,B.V. Larson,Legion nieśmiertelnych (tom 1),"6,8",545,1063,79,,https://lubimyczytac.pl/ksiazka/4997165/swiat-stali,,Przeczytane,Legion Nieśmiertelnych
5060263,Dar anomalii. Księga 1,Paweł Zbroszczyk,Dar anomalii (tom 1),"7,4",757,1423,287,,https://lubimyczytac.pl/ksiazka/5060263/dar-anomalii-ksiega-1,,Przeczytane,
5012783,Posłaniec,Krzysztof Barrek,Upadek cesarstwa (tom 1),"7,2",203,367,44,7,https://lubimyczytac.pl/ksiazka/5012783/poslaniec,,Przeczytane,
4918579,Pierwotny,Małgorzata Lisińska,Tropiciel (tom 3),"6,9",174,312,24,,https://lubimyczytac.pl/ksiazka/4918579/pierwotny,,Przeczytane,
4863627,Czarownica,Małgorzata Lisińska,Tropiciel (tom 2),"7,1",271,445,41,,https://lubimyczytac.pl/ksiazka/4863627/czarownica,,Przeczytane,
4813063,Tropiciel,Małgorzata Lisińska,Tropiciel (tom 1),"6,8",437,748,75,,https://lubimyczytac.pl/ksiazka/4813063/tropiciel,,Przeczytane,
5033814,Star Wars: Mistrz i uczeń,Claudia Gray,,"7,3",263,447,40,8,https://lubimyczytac.pl/ksiazka/5033814/star-wars-mistrz-i-uczen,,Przeczytane,
4940009,Star Wars: Thrawn: Zdrada,Timothy Zahn,Thrawn (tom 3),"7,5",188,395,23,,https://lubimyczytac.pl/ksiazka/4940009/star-wars-thrawn-zdrada,,Chcę przeczytać,
4915682,Star Wars: Thrawn: Sojusze,Timothy Zahn,Thrawn (tom 2),"6,6",248,480,32,,https://lubimyczytac.pl/ksiazka/4915682/star-wars-thrawn-sojusze,,Chcę przeczytać,
4904667,Star Wars: Thrawn,Timothy Zahn,Thrawn (tom 1),"7,9",302,653,39,,https://lubimyczytac.pl/ksiazka/4904667/star-wars-thrawn,,Chcę przeczytać,
